Metadata,DoomedEagle_2025-11-20_03-46-02,Fullchord_2025-11-20_03-46-29,Skunkworks23_2025-11-20_03-46-29,kaine__2025-11-20_03-46-02,BrainRot_2025-11-20_03-47-50,Twiggzy_2025-11-20_03-47-50,snow_Man_2025-11-20_03-51-45,Rikkitt_2025-11-20_03-51-45,romestamo_2025-11-20_03-59-22,radeone_2025-11-20_04-01-56,A_Magikarp_2025-11-20_04-04-17,KAustinn_2025-11-20_04-01-56
Build 77,Wind Turbine (293.2s),Wind Turbine (261.4s),Wind Turbine (234.0s),Pawn (555.1s),Wind Turbine (229.5s),Wind Turbine (244.5s),Energy Converter (245.7s),Mace (219.7s),Tidal Generator (223.5s),Wind Turbine (386.2s),Tidal Generator (308.2s),Wind Turbine (569.8s)
Build 78,Wind Turbine (293.2s),Wind Turbine (261.4s),Energy Converter (236.0s),Pawn (555.2s),Wind Turbine (231.2s),Wind Turbine (244.5s),Construction Ship (269.1s),Mace (219.8s),Tidal Generator (223.5s),Wind Turbine (386.2s),Tidal Generator (308.2s),Wind Turbine (569.8s)
Build 79,Wind Turbine (293.2s),Wind Turbine (261.4s),Energy Converter (236.0s),Tick (556.0s),Wind Turbine (231.2s),Wind Turbine (244.5s),Oppressor (270.0s),Mace (220.0s),Tidal Generator (223.5s),Wind Turbine (386.2s),Energy Converter (334.3s),Tidal Generator (589.5s)
Build 80,Wind Turbine (293.2s),Wind Turbine (261.4s),Energy Converter (236.0s),Sentry (567.0s),Wind Turbine (231.2s),Wind Turbine (244.5s),Herring (270.6s),Mace (220.4s),Tidal Generator (223.5s),Wind Turbine (386.2s),Energy Converter (337.1s),Tidal Generator (589.5s)
Build 81,Wind Turbine (293.2s),Wind Turbine (261.4s),Energy Converter (236.0s),Construction Turret (575.8s),Wind Turbine (231.2s),Wind Turbine (244.5s),Jellyfish (323.9s),Mace (220.8s),Tidal Generator (223.5s),Wind Turbine (386.2s),Energy Converter (368.3s),Tidal Generator (589.5s)
Build 82,Wind Turbine (293.2s),Wind Turbine (261.4s),Wind Turbine (239.0s),Construction Turret (575.8s),Wind Turbine (231.2s),Wind Turbine (244.5s),Dragon's Teeth (341.9s),Mace (220.9s),Tidal Generator (223.5s),Wind Turbine (386.2s),Energy Converter (368.3s),Tidal Generator (589.5s)
Build 83,Wind Turbine (293.2s),Wind Turbine (261.4s),Wind Turbine (239.0s),Wind Turbine (586.0s),Wind Turbine (231.2s),Wind Turbine (244.5s),Dragon's Teeth (343.1s),Mace (221.1s),Tidal Generator (223.5s),Wind Turbine (386.2s),Energy Converter (368.3s),Construction Turret (597.1s)
Build 84,Wind Turbine (293.2s),Wind Turbine (261.4s),Wind Turbine (239.0s),Wind Turbine (586.0s),Wind Turbine (231.2s),Wind Turbine (244.5s),Radar Tower (355.4s),Mace (221.3s),Tidal Generator (223.5s),Wind Turbine (386.2s),Energy Converter (368.3s),Wind Turbine (606.7s)
Build 85,Wind Turbine (293.2s),Wind Turbine (261.4s),Wind Turbine (239.0s),Wind Turbine (586.0s),Wind Turbine (231.2s),Wind Turbine (244.5s),Hovercraft Platform (364.1s),Mace (221.5s),Tidal Generator (223.5s),Wind Turbine (396.9s),Mace (399.8s),Wind Turbine (606.7s)
Build 86,Wind Turbine (293.2s),Wind Turbine (261.4s),Wind Turbine (239.0s),Wind Turbine (586.0s),Wind Turbine (231.2s),Wind Turbine (244.5s),Goon (393.3s),Mace (221.9s),Tidal Generator (223.5s),Wind Turbine (396.9s),Mace (399.9s),Wind Turbine (606.7s)
Build 87,Wind Turbine (293.2s),Wind Turbine (261.4s),Wind Turbine (239.0s),Wind Turbine (586.0s),Wind Turbine (231.2s),Wind Turbine (244.5s),Mangonel (395.9s),Mace (222.4s),Tidal Generator (223.5s),Wind Turbine (396.9s),Construction Turret (454.5s),Wind Turbine (606.7s)
Build 88,Wind Turbine (293.2s),Wind Turbine (261.4s),Wind Turbine (239.0s),Wind Turbine (586.0s),Wind Turbine (231.2s),Wind Turbine (244.5s),Mangonel (396.1s),Solar Collector (247.5s),Tidal Generator (223.5s),Wind Turbine (396.9s),Construction Turret (487.0s),Wind Turbine (606.7s)
Build 89,Wind Turbine (293.2s),Wind Turbine (261.4s),Wind Turbine (239.0s),Wind Turbine (586.0s),Lazarus (232.8s),Wind Turbine (244.5s),Goon (399.5s),Solar Collector (247.5s),Tidal Generator (223.5s),Wind Turbine (396.9s),Advanced Solar Collector (496.1s),Wind Turbine (606.7s)
Build 90,Construction Bot (295.2s),Wind Turbine (261.4s),Wind Turbine (239.0s),Wind Turbine (586.0s),Construction Bot (233.1s),Construction Turret (284.4s),Bot Lab (673.2s),Solar Collector (247.5s),Tidal Generator (223.5s),Wind Turbine (396.9s),Advanced Solar Collector (496.1s),Wind Turbine (606.7s)
Build 91,Energy Storage (297.3s),Wind Turbine (261.4s),Wind Turbine (239.0s),Wind Turbine (623.1s),Lazarus (233.4s),Construction Turret (287.7s),Bot Lab (674.2s),Energy Converter (293.8s),Tidal Generator (223.5s),Wind Turbine (396.9s),Advanced Solar Collector (496.1s),Wind Turbine (606.7s)
Build 92,Wind Turbine (300.9s),Wind Turbine (261.4s),Wind Turbine (239.0s),Wind Turbine (623.1s),Construction Bot (233.7s),Groundhog (429.3s),Construction Turret (678.6s),Energy Converter (293.8s),Tidal Generator (223.5s),Wind Turbine (396.9s),Advanced Solar Collector (496.1s),Wind Turbine (606.7s)
Build 93,Wind Turbine (300.9s),Wind Turbine (261.4s),Wind Turbine (239.0s),Wind Turbine (623.1s),Energy Converter (256.8s),Light Mine (472.7s),Construction Turret (678.6s),Energy Converter (293.8s),Tidal Generator (223.5s),Wind Turbine (396.9s),Advanced Solar Collector (496.8s),Wind Turbine (606.7s)
Build 94,Wind Turbine (300.9s),Construction Turret (264.1s),Energy Converter (240.2s),Wind Turbine (623.1s),Energy Converter (259.2s),Light Mine (472.7s),Construction Turret (678.6s),Energy Converter (296.0s),Tidal Generator (223.5s),Wind Turbine (396.9s),Advanced Solar Collector (537.1s),Wind Turbine (610.0s)
Build 95,Wind Turbine (300.9s),Construction Turret (267.2s),Energy Converter (240.2s),Wind Turbine (623.1s),Energy Converter (259.2s),Light Mine (472.7s),Construction Turret (678.6s),Energy Converter (296.0s),Tidal Generator (223.5s),Wind Turbine (396.9s),Advanced Solar Collector (537.1s),Wind Turbine (610.0s)
Build 96,Wind Turbine (300.9s),Wind Turbine (271.5s),Energy Converter (240.2s),Wind Turbine (623.1s),Energy Converter (259.2s),Light Mine (472.7s),Construction Turret (678.6s),Energy Converter (296.0s),Tidal Generator (223.5s),Wind Turbine (396.9s),Advanced Solar Collector (537.1s),Wind Turbine (610.0s)
Build 97,Wind Turbine (300.9s),Wind Turbine (271.5s),Energy Converter (240.2s),Wind Turbine (623.1s),Construction Turret (273.5s),Light Mine (472.7s),Construction Turret (678.6s),Energy Converter (296.9s),Tidal Generator (223.5s),Wind Turbine (497.0s),Advanced Solar Collector (537.1s),Wind Turbine (610.0s)
Build 98,Wind Turbine (300.9s),Wind Turbine (271.5s),Wind Turbine (241.8s),Wind Turbine (623.1s),Construction Turret (273.8s),Light Mine (472.7s),Construction Turret (678.6s),Energy Converter (296.9s),Tidal Generator (223.5s),Wind Turbine (497.0s),Advanced Solar Collector (537.1s),Wind Turbine (610.0s)
Build 99,Wind Turbine (300.9s),Wind Turbine (271.5s),Wind Turbine (241.8s),Wind Turbine (623.1s),Energy Converter (276.9s),Light Mine (472.7s),Construction Turret (678.6s),Energy Converter (296.9s),Tidal Generator (223.5s),Wind Turbine (497.0s),Advanced Solar Collector (575.2s),Wind Turbine (610.0s)
Build 100,Wind Turbine (300.9s),Wind Turbine (271.5s),Wind Turbine (241.8s),Wind Turbine (623.1s),Energy Converter (276.9s),Light Mine (472.7s),Construction Turret (678.6s),Solar Collector (365.4s),Tidal Generator (223.5s),Wind Turbine (497.0s),Advanced Solar Collector (575.2s),Wind Turbine (610.0s)
